intervenant,parti,intervention,text_cleaned,emotions
Yaël Braun-Pivet,REN,"
Nous sommes convenus avec quelques-uns des présidents de groupe avec lesquels j'ai pu échanger que chacun pourrait s'exprimer au sujet de la réponse que j'ai apportée, et que nous passerions ensuite à la présentation du texte. ",nous sommes convenus avec quelquesuns des présidents de groupe avec lesquels j'ai pu échanger que chacun pourrait s'exprimer au sujet de la réponse que j'ai apportée et que nous passerions ensuite à la présentation du texte.,"[{'label': 'anger', 'score': 0.5080435276031494}]"
Yaël Braun-Pivet,REN,"
Je suis effectivement quelqu'un de raisonnable ! ",je suis effectivement quelqu'un de raisonnable ,"[{'label': 'joy', 'score': 0.9144766926765442}]"
Danièle Obono,LFI,"
Ha ! Ha ! Ha ! Très drôle. ",ha  ha  ha  très drôle.,"[{'label': 'anger', 'score': 0.7749509215354919}]"
Yaël Braun-Pivet,REN,"
La parole est à Mme Valérie Rabault, pour un rappel au règlement. ",la parole est à mme valérie rabault pour un rappel au règlement.,"[{'label': 'joy', 'score': 0.5347485542297363}]"
Valérie Rabault,SOC,"
Avec tout le respect que je vous porte, madame la présidente, l'article 122 de notre règlement ne prévoit pas le cas où plusieurs motions référendaires seraient déposées – vous l'avez d'ailleurs vous-même noté. ",avec tout le respect que je vous porte madame la présidente l'article  de notre règlement ne prévoit pas le cas où plusieurs motions référendaires seraient déposées – vous l'avez d'ailleurs vousmême noté.,"[{'label': 'joy', 'score': 0.553490161895752}]"
Élodie Jacquier-Laforge,MODEM,"
Mais nous avons voté ! ",mais nous avons voté ,"[{'label': 'anger', 'score': 0.8219999074935913}]"
Valérie Rabault,SOC,"
En revanche, il est très clair sur un point : les motions peuvent être déposées jusqu'au début de la discussion générale. ",en revanche il est très clair sur un point  les motions peuvent être déposées jusqu'au début de la discussion générale.,"[{'label': 'joy', 'score': 0.9106296300888062}]"
Valérie Rabault,SOC,"
Les trois motions ayant bien respecté ce délai de dépôt, elles doivent toutes trois être prises en considération. ",les trois motions ayant bien respecté ce délai de dépôt elles doivent toutes trois être prises en considération.,"[{'label': 'joy', 'score': 0.5612133741378784}]"
Valérie Rabault,SOC,"
La question est donc uniquement de savoir comment choisir celle qui sera discutée.Vous avez indiqué, madame la présidente, qu'à l'issue d'un vote, la conférence des présidents avait décidé de procéder à un tirage au sort – je le reconnais. Mais, dans ce cas, les trois motions devraient y être soumises. ",la question est donc uniquement de savoir comment choisir celle qui sera discutée.vous avez indiqué madame la présidente qu'à l'issue d'un vote la conférence des présidents avait décidé de procéder à un tirage au sort – je le reconnais. mais dans ce cas les trois motions devraient y être soumises.,"[{'label': 'anger', 'score': 0.6614296436309814}]"
Valérie Rabault,SOC,"
Or le tirage au sort qui a eu lieu lors de la conférence des présidents n'en concernait que deux ; puisqu'il ne respecte pas les dispositions de l'article 122, qui prévoit que les motions référendaires peuvent être déposées jusqu'au début de la discussion générale, il n'a donc tout simplement pas de valeur. ",or le tirage au sort qui a eu lieu lors de la conférence des présidents n'en concernait que deux ; puisqu'il ne respecte pas les dispositions de l'article  qui prévoit que les motions référendaires peuvent être déposées jusqu'au début de la discussion générale il n'a donc tout simplement pas de valeur.,"[{'label': 'joy', 'score': 0.6361401677131653}]"
Valérie Rabault,SOC,"
Par conséquent, si vous souhaitez procéder à un tirage au sort, celui-ci doit avoir lieu maintenant, avant le début de la discussion générale, et concerner les trois motions déposées. ",par conséquent si vous souhaitez procéder à un tirage au sort celuici doit avoir lieu maintenant avant le début de la discussion générale et concerner les trois motions déposées.,"[{'label': 'joy', 'score': 0.5019978880882263}]"
Yaël Braun-Pivet,REN,"
La parole est à Mme Raquel Garrido, pour un rappel au règlement. ",la parole est à mme raquel garrido pour un rappel au règlement.,"[{'label': 'joy', 'score': 0.6743277311325073}]"
Raquel Garrido,LFI,"
Le pays tout entier nous regarde. ",le pays tout entier nous regarde.,"[{'label': 'joy', 'score': 0.646441638469696}]"
Bruno Millienne,MODEM,"
Bravo ! ",bravo ,"[{'label': 'joy', 'score': 0.5740076899528503}]"
Raquel Garrido,LFI,"
Le pays tout entier a dit, sur tous les tons, qu'il refusait la retraite à 64 ans. ",le pays tout entier a dit sur tous les tons qu'il refusait la retraite à  ans.,"[{'label': 'joy', 'score': 0.5423325896263123}]"
Raquel Garrido,LFI,"
Et pourtant, voilà que nous allons commencer l'examen du projet de loi – non seulement vous nous l'imposez, mais vous avez en outre recours à des articles farfelus de la Constitution pour contraindre notre temps de parole !À l'aube de nos débats, une condition au moins semble un préalable à toute discussion : que nous respections notre propre dignité de députés, c'est-à-dire notre règlement. ",et pourtant voilà que nous allons commencer l'examen du projet de loi – non seulement vous nous l'imposez mais vous avez en outre recours à des articles farfelus de la constitution pour contraindre notre temps de parole à l'aube de nos débats une condition au moins semble un préalable à toute discussion  que nous respections notre propre dignité de députés c'estàdire notre règlement.,"[{'label': 'joy', 'score': 0.4976770877838135}]"
Raquel Garrido,LFI,"
Madame la présidente, mon sang d'avocate n'a fait qu'un tour quand je vous ai écoutée tout à l'heure : vous avez admis que si plusieurs motions référendaires venaient à être déposées, il fallait un mécanisme pour trancher celle qui serait discutée. Nous vous avions pourtant prévenue que la bonne marche à suivre était de n'en enregistrer qu'une.Mais maintenant que trois ont été déposées, si vous décidez seule que nous n'étudierons pas la troisième en refusant de la soumettre au tirage au sort, vous créez un précédent : toute motion référendaire déposée à l'occasion de n'importe lequel de nos débats pourrait être déclarée irrecevable. Or c'est tout à fait contraire aux dispositions de l'article 122 de notre règlement. ",madame la présidente mon sang d'avocate n'a fait qu'un tour quand je vous ai écoutée tout à l'heure  vous avez admis que si plusieurs motions référendaires venaient à être déposées il fallait un mécanisme pour trancher celle qui serait discutée. nous vous avions pourtant prévenue que la bonne marche à suivre était de n'en enregistrer qu'une.mais maintenant que trois ont été déposées si vous décidez seule que nous n'étudierons pas la troisième en refusant de la soumettre au tirage au sort vous créez un précédent  toute motion référendaire déposée à l'occasion de n'importe lequel de nos débats pourrait être déclarée irrecevable. or c'est tout à fait contraire aux dispositions de l'article  de notre règlement.,"[{'label': 'anger', 'score': 0.5052300691604614}, {'label': 'joy', 'score': 0.6628547310829163}]"
Raquel Garrido,LFI,"
Il existe une solution très simple : des députés de six groupes ont signé la motion référendaire déposée par le groupe LIOT ; le président du groupe Dem soutient notre demande de réunir la conférence des présidents. Ce sont donc des députés de sept groupes qui vous demandent de le faire. ",il existe une solution très simple  des députés de six groupes ont signé la motion référendaire déposée par le groupe liot ; le président du groupe dem soutient notre demande de réunir la conférence des présidents. ce sont donc des députés de sept groupes qui vous demandent de le faire.,"[{'label': 'anger', 'score': 0.6009708642959595}]"
Raquel Garrido,LFI,"
Nous l'avons souvent dit, en démocratie, la minorité ne peut pas dicter sa loi à la majorité ; mais le fait que sept des dix groupes de la représentation nationale demandent que le règlement de l'Assemblée soit appliqué devrait, me semble-t-il, trouver écho dans votre sagacité et votre sagesse, madame la présidente. Respectons la démocratie, soyons dignes du peuple français qui nous regarde ! ",nous l'avons souvent dit en démocratie la minorité ne peut pas dicter sa loi à la majorité ; mais le fait que sept des dix groupes de la représentation nationale demandent que le règlement de l'assemblée soit appliqué devrait me sembletil trouver écho dans votre sagacité et votre sagesse madame la présidente. respectons la démocratie soyons dignes du peuple français qui nous regarde ,"[{'label': 'anger', 'score': 0.5357065796852112}]"
Yaël Braun-Pivet,REN,"
La parole est à M. Sébastien Jumel, pour un rappel au règlement. ",la parole est à m. sébastien jumel pour un rappel au règlement.,"[{'label': 'joy', 'score': 0.7320815324783325}]"
Sébastien Jumel,GDR,"
Contrairement à tout usage, et devant le silence d'une partie de l'article 122 de notre règlement, qui porte sur les motions référendaires, vous avez décidé unilatéralement , ",contrairement à tout usage et devant le silence d'une partie de l'article  de notre règlement qui porte sur les motions référendaires vous avez décidé unilatéralement ,"[{'label': 'anger', 'score': 0.8270874619483948}]"
Sébastien Jumel,GDR,"
sans que cela fasse consensus à la conférence des présidents, de créer une jurisprudence. En renonçant à la table analytique du règlement, qui ne prévoit le dépôt que d'une motion, vous avez inventé le droit et décidé de considérer que plusieurs motions référendaires pouvaient être recevables. ",sans que cela fasse consensus à la conférence des présidents de créer une jurisprudence. en renonçant à la table analytique du règlement qui ne prévoit le dépôt que d'une motion vous avez inventé le droit et décidé de considérer que plusieurs motions référendaires pouvaient être recevables.,"[{'label': 'joy', 'score': 0.4671257734298706}]"
André Chassaigne,GDR,"
Très bien ! ",très bien ,"[{'label': 'anger', 'score': 0.473198264837265}]"
Sébastien Jumel,GDR,"
C'est votre propre logique qui nous conduit aujourd'hui à vous demander de réunir la conférence des présidents. En effet, vous considérez que la motion de notre collègue Charles de Courson est recevable. Or, dans ce cas, vous devez, si l'on suit la décision de la conférence des présidents, l'inclure dans le tirage au sort ",c'est votre propre logique qui nous conduit aujourd'hui à vous demander de réunir la conférence des présidents. en effet vous considérez que la motion de notre collègue charles de courson est recevable. or dans ce cas vous devez si l'on suit la décision de la conférence des présidents l'inclure dans le tirage au sort,"[{'label': 'anger', 'score': 0.5261725783348083}]"
Sébastien Jumel,GDR,"
– sauf si tout cela n'a pour but que de faire du Front national un idiot utile ",– sauf si tout cela n'a pour but que de faire du front national un idiot utile,"[{'label': 'anger', 'score': 0.8387197852134705}]"
Sébastien Jumel,GDR,"
au service de votre mauvaise réforme ! Je ne vois aucune autre explication à votre construction du règlement… ",au service de votre mauvaise réforme  je ne vois aucune autre explication à votre construction du règlement…,"[{'label': 'anger', 'score': 0.6989623308181763}]"
Laurent Jacobelli,RN,"
Mauvais perdants ! ",mauvais perdants ,"[{'label': 'anger', 'score': 0.7954909801483154}]"
Sébastien Jumel,GDR,"
…contre laquelle s'élèvent sept des groupes de l'hémicycle, qui vous demandent de réunir la conférence des présidents : vous ne pouvez pas refuser. Nous vous demandons donc, à nouveau, de réunir la conférence des présidents. ",…contre laquelle s'élèvent sept des groupes de l'hémicycle qui vous demandent de réunir la conférence des présidents  vous ne pouvez pas refuser. nous vous demandons donc à nouveau de réunir la conférence des présidents.,"[{'label': 'anger', 'score': 0.9682057499885559}]"
Yaël Braun-Pivet,REN,"
La parole est à M. Benjamin Lucas, pour un rappel au règlement. ",la parole est à m. benjamin lucas pour un rappel au règlement.,"[{'label': 'joy', 'score': 0.724152684211731}]"
Benjamin Lucas,ECO,"
Le débat qui nous occupe, et qui pourrait aboutir à priver les Français de deux années de vie en bonne santé ,… ",le débat qui nous occupe et qui pourrait aboutir à priver les français de deux années de vie en bonne santé …,"[{'label': 'anger', 'score': 0.7074368000030518}]"
François Cormier-Bouligeon,REN,"
N'importe quoi ! ",n'importe quoi ,"[{'label': 'anger', 'score': 0.5169259905815125}]"
Benjamin Lucas,ECO,"
…mérite d'être démocratique, transparent et apaisé. Alors que la troisième motion référendaire est, nous dit-on, déjà en ligne sur le site de l'Assemblée nationale, votre choix, madame la présidente, entretient la confusion et la tension dans l'assemblée, qui en connaîtra déjà suffisamment vu la nature des débats.Vous avez vous-même, madame la présidente, qualifié la situation d'inédite dans l'histoire de l'Assemblée nationale ; de fait, elle est le fruit de la présence, pour la première fois, de quatre-vingt-neuf députés d'extrême droite , ",…mérite d'être démocratique transparent et apaisé. alors que la troisième motion référendaire est nous diton déjà en ligne sur le site de l'assemblée nationale votre choix madame la présidente entretient la confusion et la tension dans l'assemblée qui en connaîtra déjà suffisamment vu la nature des débats.vous avez vousmême madame la présidente qualifié la situation d'inédite dans l'histoire de l'assemblée nationale ; de fait elle est le fruit de la présence pour la première fois de quatrevingtneuf députés d'extrême droite ,"[{'label': 'joy', 'score': 0.6637716889381409}]"
Benjamin Lucas,ECO,"
face à laquelle vous nous aviez appelés, en avril dernier, à un barrage républicain. Mais lorsque plusieurs points se suivent, madame la présidente, ils forment une ligne : après avoir décidé de confier deux vice-présidences au Rassemblement national, votre majorité a choisi, grâce à une entourloupe, au mépris du règlement de l'Assemblée, une opposition de confort sur ce texte ",face à laquelle vous nous aviez appelés en avril dernier à un barrage républicain. mais lorsque plusieurs points se suivent madame la présidente ils forment une ligne  après avoir décidé de confier deux viceprésidences au rassemblement national votre majorité a choisi grâce à une entourloupe au mépris du règlement de l'assemblée une opposition de confort sur ce texte,"[{'label': 'anger', 'score': 0.7565935254096985}]"
Benjamin Lucas,ECO,"
–… ",–…,"[{'label': 'anger', 'score': 0.3110879361629486}]"
Emeric Salmon,RN,"
Honteux ! ",honteux ,"[{'label': 'anger', 'score': 0.72178715467453}]"
Benjamin Lucas,ECO,"
…une opposition qui n'a presque pas déposé d'amendements en commission, une opposition qui ne vise qu'à nous empêcher, nous, véritables représentants d'une autre voie, de défendre une motion référendaire. Cela risque d'aviver les tensions dans le pays et de nourrir les suspicions à votre égard.Dans ce moment si grave pour l'histoire de notre République, et alors que nous commémorons aujourd'hui le 6 février 1934 , ",…une opposition qui n'a presque pas déposé d'amendements en commission une opposition qui ne vise qu'à nous empêcher nous véritables représentants d'une autre voie de défendre une motion référendaire. cela risque d'aviver les tensions dans le pays et de nourrir les suspicions à votre égard.dans ce moment si grave pour l'histoire de notre république et alors que nous commémorons aujourd'hui le  février  ,"[{'label': 'anger', 'score': 0.8691428899765015}]"
Benjamin Lucas,ECO,"
quand la menace des ligues fascistes a pesé sur le Parlement, défendez le Parlement et la démocratie, madame la présidente, et permettez-nous de débattre sereinement ! ",quand la menace des ligues fascistes a pesé sur le parlement défendez le parlement et la démocratie madame la présidente et permetteznous de débattre sereinement ,"[{'label': 'anger', 'score': 0.9656696319580078}]"
Yaël Braun-Pivet,REN,"
La parole est à Mme Marine Le Pen, pour un rappel au règlement. ",la parole est à mme marine le pen pour un rappel au règlement.,"[{'label': 'joy', 'score': 0.5588158369064331}]"
Marine Le Pen,RN,"
La décision prise par la conférence des présidents correspond tout à fait à l'analyse juridique qui a été faite de l'article 122 – notamment par les avocats présents autour de la table, qui ont souligné le nécessaire parallélisme des formes entre la motion référendaire et la motion de rejet préalable. ",la décision prise par la conférence des présidents correspond tout à fait à l'analyse juridique qui a été faite de l'article  – notamment par les avocats présents autour de la table qui ont souligné le nécessaire parallélisme des formes entre la motion référendaire et la motion de rejet préalable.,"[{'label': 'anger', 'score': 0.5217069983482361}]"
Ugo Bernalicis,LFI,"
On les connaît, ces avocats : c'est vous et Mme la présidente ! ",on les connaît ces avocats  c'est vous et mme la présidente ,"[{'label': 'joy', 'score': 0.7448070049285889}]"
Marine Le Pen,RN,"
À partir du moment où un premier tirage au sort a déjà eu lieu, il me semble que s'il fallait procéder à un second tirage – c'est-à-dire si un député n'était pas présent pour la défense de la motion référendaire du RN, ce qui n'arrivera pas –, seules la deuxième et la troisième motion seraient concernées.Si vous aviez gagné le tirage au sort, mesdames et messieurs les députés de la gauche, nous ne vous aurions pas entendus aujourd'hui : ",à partir du moment où un premier tirage au sort a déjà eu lieu il me semble que s'il fallait procéder à un second tirage – c'estàdire si un député n'était pas présent pour la défense de la motion référendaire du rn ce qui n'arrivera pas – seules la deuxième et la troisième motion seraient concernées.si vous aviez gagné le tirage au sort mesdames et messieurs les députés de la gauche nous ne vous aurions pas entendus aujourd'hui ,"[{'label': 'anger', 'score': 0.48440271615982056}]"
Marine Le Pen,RN,"
cela signifie qu'en réalité, vous ne respectez pas les règles, mais cherchez à les tordre pour servir votre intérêt politique.J'ai une solution, que j'ai soumise à plusieurs responsables. À nos yeux, la motion référendaire est très importante, car il est fondamental que le peuple français puisse s'exprimer sur cette réforme des retraites : c'est le cœur de notre démocratie. ",cela signifie qu'en réalité vous ne respectez pas les règles mais cherchez à les tordre pour servir votre intérêt politique.j'ai une solution que j'ai soumise à plusieurs responsables. à nos yeux la motion référendaire est très importante car il est fondamental que le peuple français puisse s'exprimer sur cette réforme des retraites  c'est le cœur de notre démocratie.,"[{'label': 'joy', 'score': 0.5553992986679077}]"
Sarah Legrain,LFI,"
On ne vous a pas vus dans la rue ! ",on ne vous a pas vus dans la rue ,"[{'label': 'joy', 'score': 0.4743337631225586}]"
Marine Le Pen,RN,"
Nous avons donc annoncé aux six groupes ayant signé la troisième motion que nous étions prêts à retirer la nôtre s'ils acceptaient que les députés du Rassemblement national signent la leur. ",nous avons donc annoncé aux six groupes ayant signé la troisième motion que nous étions prêts à retirer la nôtre s'ils acceptaient que les députés du rassemblement national signent la leur.,"[{'label': 'joy', 'score': 0.5840241312980652}]"
Marine Le Pen,RN,"
Cela en ferait une motion véritablement transpartisane. Cependant, jusqu'à présent, ils ont refusé : alors halte à la tartufferie ! ",cela en ferait une motion véritablement transpartisane. cependant jusqu'à présent ils ont refusé  alors halte à la tartufferie ,"[{'label': 'anger', 'score': 0.9913653135299683}]"
Danièle Obono,LFI,"
Pas de magouilles avec les fascistes ! Ce sont les macronistes qui s'allient avec vous ! ",pas de magouilles avec les fascistes  ce sont les macronistes qui s'allient avec vous ,"[{'label': 'anger', 'score': 0.9733498096466064}]"
Yaël Braun-Pivet,REN,"
La parole est à M. Charles de Courson, pour un rappel au règlement. ",la parole est à m. charles de courson pour un rappel au règlement.,"[{'label': 'joy', 'score': 0.5534958243370056}]"
Charles de Courson,LIOT,"
Le troisième alinéa de l'article 122 de notre règlement prévoit deux cas de figure.Le premier correspond au dépôt d'une motion référendaire avant le début de la discussion générale,… ",le troisième alinéa de l'article  de notre règlement prévoit deux cas de figure.le premier correspond au dépôt d'une motion référendaire avant le début de la discussion générale…,"[{'label': 'joy', 'score': 0.677125871181488}]"
Charles de Courson,LIOT,"
…ce qui est bien le cas de la troisième motion : vous ne pouvez donc pas l'écarter d'emblée, et devez réunir la conférence des présidents pour discuter de ce qu'il convient de faire, madame la présidente. ",…ce qui est bien le cas de la troisième motion  vous ne pouvez donc pas l'écarter d'emblée et devez réunir la conférence des présidents pour discuter de ce qu'il convient de faire madame la présidente.,"[{'label': 'anger', 'score': 0.5135143995285034}]"
Paul Vannier,LFI,"
Imparable ! ",imparable ,"[{'label': 'joy', 'score': 0.9324928522109985}]"
Charles de Courson,LIOT,"
Le deuxième cas de figure concerne le dépôt d'une motion au cours de la discussion générale. Donc, si nous déposons une nouvelle motion avant la fin de la discussion générale, que ferez-vous, madame la présidente ? Vous serez bien obligée de l'enregistrer et de la soumettre à la discussion. En effet, le troisième alinéa de l'article 122 prévoit bien, je le répète : « Cette motion est discutée immédiatement avant la discussion générale du projet ou, si la discussion générale est commencée, dès son dépôt. Elle n'est appelée que si la présence effective en séance des signataires est constatée au moment de l'appel. » Vous voilà donc contrainte, madame la présidente, de réunir la conférence des présidents pour évoquer ces deux hypothèses. ",le deuxième cas de figure concerne le dépôt d'une motion au cours de la discussion générale. donc si nous déposons une nouvelle motion avant la fin de la discussion générale que ferezvous madame la présidente  vous serez bien obligée de l'enregistrer et de la soumettre à la discussion. en effet le troisième alinéa de l'article  prévoit bien je le répète  « cette motion est discutée immédiatement avant la discussion générale du projet ou si la discussion générale est commencée dès son dépôt. elle n'est appelée que si la présence effective en séance des signataires est constatée au moment de l'appel. » vous voilà donc contrainte madame la présidente de réunir la conférence des présidents pour évoquer ces deux hypothèses.,"[{'label': 'joy', 'score': 0.45444732904434204}, {'label': 'anger', 'score': 0.5189561247825623}]"
Alexis Corbière,LFI,"
C'est imparable. Et il n'est même pas avocat ! ",c'est imparable. et il n'est même pas avocat ,"[{'label': 'joy', 'score': 0.9869775176048279}]"
Yaël Braun-Pivet,REN,"
La parole est à Mme Aurore Bergé, pour un rappel au règlement. ",la parole est à mme aurore bergé pour un rappel au règlement.,"[{'label': 'joy', 'score': 0.517917275428772}]"
Aurore Bergé,REN,"
Contrairement à ce qui vient d'être dit, la présidente n'est contrainte qu'à une chose : respecter le règlement de l'Assemblée ! Et c'est ce qu'elle a fait, en convoquant la semaine dernière une conférence des présidents, dont la décision a été entérinée à l'issue d'un vote. ",contrairement à ce qui vient d'être dit la présidente n'est contrainte qu'à une chose  respecter le règlement de l'assemblée  et c'est ce qu'elle a fait en convoquant la semaine dernière une conférence des présidents dont la décision a été entérinée à l'issue d'un vote.,"[{'label': 'anger', 'score': 0.8792521357536316}]"
Aurore Bergé,REN,"
Nous avons déjà perdu quarante minutes ! ",nous avons déjà perdu quarante minutes ,"[{'label': 'fear', 'score': 0.5829691886901855}]"
Aurore Bergé,REN,"
Quarante minutes pendant lesquelles nous n'avons pas débattu des retraites, quarante minutes perdues dans le débat qu'attendent les Français ! ",quarante minutes pendant lesquelles nous n'avons pas débattu des retraites quarante minutes perdues dans le débat qu'attendent les français ,"[{'label': 'anger', 'score': 0.7033377885818481}]"
Danièle Obono,LFI,"
C'est à cause de vous ! ",c'est à cause de vous ,"[{'label': 'joy', 'score': 0.6832375526428223}]"
Aurore Bergé,REN,"
Alors, qui, dans l'hémicycle, fait la courte échelle à l'extrême droite ? ",alors qui dans l'hémicycle fait la courte échelle à l'extrême droite ,"[{'label': 'joy', 'score': 0.8558080196380615}]"
Aurore Bergé,REN,"
Vous ! Qui vote le plus souvent avec le Rassemblement national ? Vous ! Nous, nous voulons débattre, et nous sommes ici pour cela ! ",vous  qui vote le plus souvent avec le rassemblement national  vous  nous nous voulons débattre et nous sommes ici pour cela ,"[{'label': 'joy', 'score': 0.7338269352912903}]"
Fabien Di Filippo,LR,"
On n'a pas tout compris, mais ils ont l'air contents ! ",on n'a pas tout compris mais ils ont l'air contents ,"[{'label': 'joy', 'score': 0.49642473459243774}]"
Yaël Braun-Pivet,REN,"
Tous les groupes ayant pu s'exprimer, je vais, comme nous en étions convenus, laisser la parole à M. le ministre. ",tous les groupes ayant pu s'exprimer je vais comme nous en étions convenus laisser la parole à m. le ministre.,"[{'label': 'anger', 'score': 0.46433836221694946}]"
Ugo Bernalicis,LFI,"
Nous n'étions convenus de rien du tout ! ",nous n'étions convenus de rien du tout ,"[{'label': 'anger', 'score': 0.8362695574760437}]"
Yaël Braun-Pivet,REN,"
Je n'accepte pas que la parole donnée ne soit pas respectée ! Nous sommes convenus que le ministre pourrait s'exprimer, j'entends qu'il le fasse. ",je n'accepte pas que la parole donnée ne soit pas respectée  nous sommes convenus que le ministre pourrait s'exprimer j'entends qu'il le fasse.,"[{'label': 'anger', 'score': 0.508036732673645}]"
François Ruffin,LFI,"
Non ! Une conférence des présidents ! ",non  une conférence des présidents ,"[{'label': 'anger', 'score': 0.8191879987716675}]"
Danièle Obono,LFI,"
Vous vous asseyez sur le règlement ! ",vous vous asseyez sur le règlement ,"[{'label': 'joy', 'score': 0.5384998321533203}]"
Yaël Braun-Pivet,REN,"
La parole est à M. le ministre du travail, du plein emploi et de l'insertion. ",la parole est à m. le ministre du travail du plein emploi et de l'insertion.,"[{'label': 'joy', 'score': 0.5436665415763855}]"
Ugo Bernalicis,LFI,"
Réunissez la conférence des présidents ! ",réunissez la conférence des présidents ,"[{'label': 'joy', 'score': 0.6466269493103027}]"
Yaël Braun-Pivet,REN,"
Mes chers collègues, seul le ministre a la parole ! ",mes chers collègues seul le ministre a la parole ,"[{'label': 'anger', 'score': 0.6631913185119629}]"
Yaël Braun-Pivet,REN,"
Pensez-vous que nous allons passer les quinze prochains jours dans cette ambiance ? ",pensezvous que nous allons passer les quinze prochains jours dans cette ambiance ,"[{'label': 'joy', 'score': 0.9811919331550598}]"
