intervenant,parti,intervention
Benjamin Lucas,ECO,"
…une opposition qui n'a presque pas déposé d'amendements en commission, une opposition qui ne vise qu'à nous empêcher, nous, véritables représentants d'une autre voie, de défendre une motion référendaire. Cela risque d'aviver les tensions dans le pays et de nourrir les suspicions à votre égard.Dans ce moment si grave pour l'histoire de notre République, et alors que nous commémorons aujourd'hui le 6 février 1934 , "
Benjamin Lucas,ECO,"
quand la menace des ligues fascistes a pesé sur le Parlement, défendez le Parlement et la démocratie, madame la présidente, et permettez-nous de débattre sereinement ! "
Yaël Braun-Pivet,REN,"
La parole est à Mme Marine Le Pen, pour un rappel au règlement. "
Marine Le Pen,RN,"
La décision prise par la conférence des présidents correspond tout à fait à l'analyse juridique qui a été faite de l'article 122 – notamment par les avocats présents autour de la table, qui ont souligné le nécessaire parallélisme des formes entre la motion référendaire et la motion de rejet préalable. "
Ugo Bernalicis,LFI,"
On les connaît, ces avocats : c'est vous et Mme la présidente ! "
Marine Le Pen,RN,"
À partir du moment où un premier tirage au sort a déjà eu lieu, il me semble que s'il fallait procéder à un second tirage – c'est-à-dire si un député n'était pas présent pour la défense de la motion référendaire du RN, ce qui n'arrivera pas –, seules la deuxième et la troisième motion seraient concernées.Si vous aviez gagné le tirage au sort, mesdames et messieurs les députés de la gauche, nous ne vous aurions pas entendus aujourd'hui : "
Marine Le Pen,RN,"
cela signifie qu'en réalité, vous ne respectez pas les règles, mais cherchez à les tordre pour servir votre intérêt politique.J'ai une solution, que j'ai soumise à plusieurs responsables. À nos yeux, la motion référendaire est très importante, car il est fondamental que le peuple français puisse s'exprimer sur cette réforme des retraites : c'est le cœur de notre démocratie. "
Sarah Legrain,LFI,"
On ne vous a pas vus dans la rue ! "
Marine Le Pen,RN,"
Nous avons donc annoncé aux six groupes ayant signé la troisième motion que nous étions prêts à retirer la nôtre s'ils acceptaient que les députés du Rassemblement national signent la leur. "
Marine Le Pen,RN,"
Cela en ferait une motion véritablement transpartisane. Cependant, jusqu'à présent, ils ont refusé : alors halte à la tartufferie ! "
Danièle Obono,LFI,"
Pas de magouilles avec les fascistes ! Ce sont les macronistes qui s'allient avec vous ! "
Yaël Braun-Pivet,REN,"
La parole est à M. Charles de Courson, pour un rappel au règlement. "
Charles de Courson,LIOT,"
Le troisième alinéa de l'article 122 de notre règlement prévoit deux cas de figure.Le premier correspond au dépôt d'une motion référendaire avant le début de la discussion générale,… "
Charles de Courson,LIOT,"
…ce qui est bien le cas de la troisième motion : vous ne pouvez donc pas l'écarter d'emblée, et devez réunir la conférence des présidents pour discuter de ce qu'il convient de faire, madame la présidente. "
Paul Vannier,LFI,"
Imparable ! "
Charles de Courson,LIOT,"
Le deuxième cas de figure concerne le dépôt d'une motion au cours de la discussion générale. Donc, si nous déposons une nouvelle motion avant la fin de la discussion générale, que ferez-vous, madame la présidente ? Vous serez bien obligée de l'enregistrer et de la soumettre à la discussion. En effet, le troisième alinéa de l'article 122 prévoit bien, je le répète : « Cette motion est discutée immédiatement avant la discussion générale du projet ou, si la discussion générale est commencée, dès son dépôt. Elle n'est appelée que si la présence effective en séance des signataires est constatée au moment de l'appel. » Vous voilà donc contrainte, madame la présidente, de réunir la conférence des présidents pour évoquer ces deux hypothèses. "
Alexis Corbière,LFI,"
C'est imparable. Et il n'est même pas avocat ! "
Yaël Braun-Pivet,REN,"
La parole est à Mme Aurore Bergé, pour un rappel au règlement. "
Aurore Bergé,REN,"
Contrairement à ce qui vient d'être dit, la présidente n'est contrainte qu'à une chose : respecter le règlement de l'Assemblée ! Et c'est ce qu'elle a fait, en convoquant la semaine dernière une conférence des présidents, dont la décision a été entérinée à l'issue d'un vote. "
Aurore Bergé,REN,"
Nous avons déjà perdu quarante minutes ! "
Aurore Bergé,REN,"
Quarante minutes pendant lesquelles nous n'avons pas débattu des retraites, quarante minutes perdues dans le débat qu'attendent les Français ! "
Danièle Obono,LFI,"
C'est à cause de vous ! "
Aurore Bergé,REN,"
Alors, qui, dans l'hémicycle, fait la courte échelle à l'extrême droite ? "
Aurore Bergé,REN,"
Vous ! Qui vote le plus souvent avec le Rassemblement national ? Vous ! Nous, nous voulons débattre, et nous sommes ici pour cela ! "
Fabien Di Filippo,LR,"
On n'a pas tout compris, mais ils ont l'air contents ! "
Yaël Braun-Pivet,REN,"
Tous les groupes ayant pu s'exprimer, je vais, comme nous en étions convenus, laisser la parole à M. le ministre. "
Ugo Bernalicis,LFI,"
Nous n'étions convenus de rien du tout ! "
Yaël Braun-Pivet,REN,"
Je n'accepte pas que la parole donnée ne soit pas respectée ! Nous sommes convenus que le ministre pourrait s'exprimer, j'entends qu'il le fasse. "
François Ruffin,LFI,"
Non ! Une conférence des présidents ! "
Danièle Obono,LFI,"
Vous vous asseyez sur le règlement ! "
Yaël Braun-Pivet,REN,"
La parole est à M. le ministre du travail, du plein emploi et de l'insertion. "
Ugo Bernalicis,LFI,"
Réunissez la conférence des présidents ! "
Yaël Braun-Pivet,REN,"
Mes chers collègues, seul le ministre a la parole ! "
Yaël Braun-Pivet,REN,"
Pensez-vous que nous allons passer les quinze prochains jours dans cette ambiance ? "
Yaël Braun-Pivet,REN,"
Ne croyez-vous pas que nos compatriotes méritent mieux que ça ? "
Fabien Di Filippo,LR,"
Votez-la, la motion, on n'en parlera plus ! "
Yaël Braun-Pivet,REN,"
Allez-y, monsieur le ministre. "
Yaël Braun-Pivet,REN,"
Mes chers collègues, nous ne sommes ici ni dans un amphithéâtre, ni dans une manifestation, mais dans l'hémicycle de l'Assemblée nationale ! "
Laurent Croizier,MODEM,"
Vous n'êtes pas sur les bancs de la maternelle, quand même ! "
Yaël Braun-Pivet,REN,"
Monsieur le ministre, vous avez la parole. "
Marc Le Fur,LR,"
Et l'eau de la Saur, elle est bonne ? "
Pierre Dharréville,GDR,"
Ce projet de loi est une honte ! "
Matthias Tavel,LFI,"
C'est faux ! "
Fabien Roussel,GDR,"
Nous, nous croyons à la légitimité du peuple ! "
Ugo Bernalicis,LFI,"
Nous aussi, nous assumons notre opposition ! "
Louis Boyard,LFI,"
Corrompu ! "
Ugo Bernalicis,LFI,"
Vous croyez vraiment à ce que vous dites ? "
Jérôme Guedj,SOC,"
Hirsute ? "
François Ruffin,LFI,"
Vous faites du favoritisme pour les riches ! "
Fabien Roussel,GDR,"
Celle des premiers de cordée ? "
Sabrina Sebaihi,ECO,"
Elle est injuste ! "
Sophie Taillé-Polian,ECO,"
Retirez-la ! "
Loïc Prud'homme,LFI,"
Vous êtes un corrompu ! "
Éric Bothorel,REN,"
Il a raison ! "
Sébastien Jumel,GDR,"
C'est le cas ! "
Matthias Tavel,LFI,"
Vos réformes, ce sont des cadeaux aux riches ! "
Sylvain Maillard,REN,"
Bravo ! "
Farida Amrani,LFI,"
Cette réforme est injuste ! "
Clémence Guetté,LFI,"
Vous êtes un menteur, un tricheur et un lâche ! "
Clémence Guetté,LFI,"
Il y a une autre solution ! "
Mathilde Panot,LFI,"
Arrêtez avec vos sornettes ! "
Sandra Regol,ECO,"
C'est vous qui l'interprétez ! "
Jean-Paul Mattei,MODEM,"
Absolument ! Très bien ! "
Sophie Taillé-Polian,ECO,"
Le sens commun, ce sont les 70 % des Français qui s'opposent à votre réforme ! "
Hadrien Clouet,LFI,"
Traître ! Vendu ! "
Louis Boyard,LFI,"
Elles vous détestent, les générations montantes ! "
Matthias Tavel,LFI,"
Améliorer les dividendes, oui ! "
Stéphane Peu,GDR,"
Retirer le texte ! C'est la seule option qui vaille. "
Rodrigo Arenas,LFI,"
C'était votre projet il n'y a pas longtemps ! "
Maud Bregeon,REN,"
Il a raison ! "
Stéphane Peu,GDR,"
C'est faux ! "
Pierre Dharréville,GDR,"
Vous parlez de mépris après ce qui vient de se passer ? "
Sandra Regol,ECO,"
La brutalité, c'est vous ! "
Pierre Cordier,app. LR,"
Vous disiez le contraire il y a six ans ! "
Raquel Garrido,LFI,"
Nous ne vous laisserons pas faire ! "
Mathilde Panot,LFI,"
Nous ne vous laisserons pas faire ! "
Matthias Tavel,LFI,"
Vous faites pire que Sarkozy ! "
Christine Arrighi,ECO,"
Le bénévolat aussi crée des richesses ! "
Ségolène Amiot,LFI,"
Les retraités ne sont pas des fainéants ! "
Sophie Taillé-Polian,ECO,"
Vous avez fait semblant de les consulter ! "
Davy Rimane,GDR,"
Elle est belle, la concertation ! "
Davy Rimane,GDR,"
C'est faux ! "
Inaki Echaniz,SOC,"
Inutile ! "
Perceval Gaillard,LFI,"
C'est faux ! "
Perceval Gaillard,LFI,"
Vos députés eux-mêmes n'y croient pas ! "
Jean-François Coulomme,LFI,"
Ils seront déjà morts ! "
Inaki Echaniz,SOC,"
Injuste ! "
Sophie Taillé-Polian,ECO,"
Vous les avez retirés ! "
Davy Rimane,GDR,"
Vous n'y croyez pas vous-même ! "
Matthias Tavel,LFI,"
Vous allez leur voler deux ans ! "
Davy Rimane,GDR,"
Niveler par le bas, c'est cela le progrès ? "
Sylvain Maillard,REN,"
Très bien ! "
Louis Boyard,LFI,"
Vous n'êtes pas équitable avec tous les favoritismes ! "
Rodrigo Arenas,LFI,"
Classe contre classe ! "
Sandra Regol,ECO,"
Une société de l'injustice ! "
Matthias Tavel,LFI,"
Une société de la précarité et de la pauvreté ! "
Hadrien Clouet,LFI,"
Arriviste ! Vendu ! "
Benjamin Lucas,ECO,"
Et Olivier Dussopt, il dit quoi ? "
Sophie Taillé-Polian,ECO,"
Vous êtes tout seul ! "
Thomas Portes,LFI,"
C'est le retrait de votre texte qui est attendu ! "
Pierre Cordier,app. LR,"
C'est la base de la démocratie ! "
Hadrien Clouet,LFI,"
Plus tard, vous ne serez plus là ! "
Matthias Tavel,LFI,"
Profitez, ça ne va pas durer ! "
Loïc Prud'homme,LFI,"
Vous êtes en boucle ! "
Antoine Léaument,LFI,"
Ça suffit, l'obstruction ! "
Yaël Braun-Pivet,REN,"
La parole est à M. le ministre délégué chargé des comptes publics. "
Raquel Garrido,LFI,"
Ce n'est pas un projet de loi de financement rectificative de la sécurité sociale ! "
Fabien Di Filippo,LR,"
Et votre politique du chéquier, elle est d'intérêt général ? "
Sophie Taillé-Polian,ECO,"
Faites plutôt marche arrière ! "
Pierre Dharréville,GDR,"
Entre progrès et régression sociale ! "
Nicolas Sansu,GDR,"
C'est faux ! "
Julie Laernoes,ECO,"
Augmentez donc les salaires des femmes ! "
Julie Laernoes,ECO,"
Et la productivité ? "
Emmanuel Fernandes,LFI,"
Partagez les richesses ! "
Emeric Salmon,RN,"
C'est faux ! "
Sophie Taillé-Polian,ECO,"
Vous versez chaque année 154 milliards aux entreprises ! "
Sophie Taillé-Polian,ECO,"
Quelle argumentation subtile ! Vous faites dans la dentelle ! "
Nicolas Sansu,GDR,"
Gare à la onzième plaie d'Égypte ! "
Raquel Garrido,LFI,"
Quel cynisme ! "
Matthias Tavel,LFI,"
Cette classe moyenne est contre votre réforme, contre vous ! "
Christine Arrighi,ECO,"
Le moment qui viendra deux ans plus tard que ce qu'ils espéraient ! "
Francis Dubois,LR,"
Non, vous voulez toujours faire payer les mêmes, la classe moyenne ! "
Jérôme Guedj,SOC,"
C'est faux ! "
Emmanuel Fernandes,LFI,"
Vous préservez vos amis les riches ! "
Anna Pic,SOC,"
C'est faux ! "
Sandrine Rousseau,ECO,"
Arrêtez de dire n'importe quoi ! "
Matthias Tavel,LFI,"
Vous allez leur voler deux ans de retraite ! "
Jérôme Guedj,SOC,"
Vous préférez prélever un impôt sur la vie ! "
Emeric Salmon,RN,"
Améliorez donc le taux d'emploi ! "
Matthias Tavel,LFI,"
Prenez aux riches, aux actionnaires, à Total ! "
Julie Laernoes,ECO,"
Oui ! "
Matthias Tavel,LFI,"
C'est faux ! "
Sandra Regol,ECO,"
C'est facile de manipuler ainsi les chiffres ! "
Alexis Corbière,LFI,"
Et vous, que leur demandez-vous, aux milliardaires ? "
Jocelyn Dessigny,RN,"
Marine Le Pen ! "
Raquel Garrido,LFI,"
Zemmour est d'accord ! "
Francis Dubois,LR,"
Les 35 heures, c'est Martine Aubry ! "
Yaël Braun-Pivet,REN,"
Un peu de silence ! "
Francis Dubois,LR,"
La suppression des heures supplémentaires, c'est François Hollande ! "
Raquel Garrido,LFI,"
Les Français veulent le retrait du texte ! "
Raquel Garrido,LFI,"
Quel cynisme ! "
Alexis Corbière,LFI,"
Arrêtez ! "
Matthias Tavel,LFI,"
Menteur ! "
Raquel Garrido,LFI,"
Ne prenez pas les gens pour des jambons ! "
Alexis Corbière,LFI,"
Madame la présidente, le ministre délégué ment, c'est grave ! "
Alexis Corbière,LFI,"
Vous n'êtes pas applaudi par grand monde, même dans votre camp ! "
Benjamin Lucas,ECO,"
Nous aussi, nous continuerons à bouger tant que vous ne retirerez pas votre projet ! "
Raquel Garrido,LFI,"
C'est un débat truqué ! "
Benjamin Lucas,ECO,"
Mais quel sens de l'humour ! "
Nicolas Sansu,GDR,"
Écoutez-les donc ! "
Jocelyn Dessigny,RN,"
Celle qui rejette à 75 % votre réforme des retraites ! "
Yaël Braun-Pivet,REN,"
La parole est à Mme Stéphanie Rist, rapporteure générale de la commission des affaires sociales. "
Paul Vannier,LFI,"
On attend toujours la conférence des présidents ! "
Stéphanie Rist,REN,"
Nous sommes au seuil de l'examen d'un texte majeur pour l'avenir de notre système de retraite, et donc pour la protection sociale de l'ensemble de nos concitoyens. Il me semble bon ici de rappeler qu'en dépit des désaccords profonds qui se sont exprimés sur ce projet de loi, en commission comme ailleurs, il est un point qui doit tous nous rassembler : la défense du système de retraite par répartition. Chaque mois, dans notre pays, s'accomplit ce petit miracle de notre sécurité sociale qui nous est devenu aussi naturel que l'air qu'on respire : près de 30 millions d'actifs versent une partie du fruit de leur travail à près de 17 millions de retraités.Cette solidarité intergénérationnelle suppose que chacun, quelle que soit sa date de naissance, sache qu'il pourra en bénéficier, une fois sa vie active achevée. Or notre système fait face à une crise de confiance. Comment d'ailleurs ne pas la comprendre quand on voit que la part des actifs par rapport aux retraités ne cesse de diminuer ? C'est en partie une bonne nouvelle car c'est la preuve que l'espérance de vie a augmenté et que la retraite est bel et bien devenue un nouvel âge de la vie. Toutefois, il faut bien avoir à l'esprit que la pension d'un retraité ne sera plus financée que par un seul actif en 2050 quand elle l'était par près de trois actifs en 1990. Quelles que soient les projections concernant la productivité, cela pose nécessairement un problème redoutable qui menace la pérennité financière de notre système.Comment ne pas comprendre cette crise de confiance quand les projections du Conseil d'orientation des retraites montrent que, durant les prochaines décennies, le montant relatif des pensions ne cessera de diminuer par rapport aux salaires des actifs ? "
Sylvain Maillard,REN,"
Eh oui ! "
Stéphanie Rist,REN,"
Comment ne pas comprendre, enfin, cette crise de confiance, quand le rapport de ce même conseil démontre l'ampleur des déficits à venir pour notre système de retraite ? Nous avons eu la satisfaction de voir, au cours de nos débats en commission, que plus personne sur ces bancs ne remettait en doute l'existence des futurs déficits. J'y vois le signe encourageant que nous pouvons, à tout le moins, partager le constat d'une situation qui n'a rien d'anodin.Que nous le voulions ou non, les projections du COR, toutes hypothèses confondues, démontrent l'existence d'un déficit structurel de notre système sur vingt-cinq ans. Que nous le voulions ou non, même en retenant l'hypothèse d'un niveau de productivité supérieur à celui de ces dix dernières années et celle du plein emploi pour 2027, le système de retraite restera en déficit structurel. Laissez-moi rappeler ici, en tant que rapporteure générale du budget de la sécurité sociale, ce que cela représente : 13,5 milliards en 2030 et 44 milliards en 2050.L'effort massif de nos finances publiques pour faire face à la crise exceptionnelle que fut la pandémie de covid a fait perdre le sens des réalités budgétaires aux députés de certains bancs. "
Matthias Tavel,LFI,"
Et vous, vous avez perdu le sens des réalités sociales ! "
Stéphanie Rist,REN,"
Je vais donc m'employer à rappeler quelques ordres de grandeur. Si nous ne faisons rien, d'ici à 2033, le déficit de notre système de retraite sera supérieur, en une année, à l'ensemble des déficits des régimes obligatoires de base de la sécurité sociale enregistrés en 2022. Si nous ne faisons rien, d'ici à 2050, il sera supérieur en une année au pire déficit qu'aient connu les comptes sociaux dans leur ensemble, celui de 2020, quand il s'agissait de faire face à la pandémie de covid. "
Bastien Lachaud,LFI,"
Donnez des chiffres ! "
Stéphanie Rist,REN,"
Car ne nous y trompons pas, l'enjeu est bien là ! Si nous nous abandonnons à des déficits structurels, si nous essayons de cacher la poussière sous le tapis en laissant le soin aux générations futures de nettoyer, nous compromettrons non seulement l'avenir de notre système de retraite par répartition mais aussi notre capacité souveraine à faire face à des chocs aussi massifs que celui de la pandémie.Pour notre part, nous faisons le choix de la responsabilité, un choix qui devrait inspirer chacun de ceux qui sont ici attachés à notre système de retraite. Il s'agit de valoriser le travail pour faire face à la dégradation structurelle de notre système. Nous proposons en conséquence de relever progressivement l'âge légal d'ouverture des droits et d'accélérer le calendrier de relèvement de la durée de cotisations. À terme, cette réforme aboutira à une augmentation de la durée moyenne de travail de sept mois par rapport à aujourd'hui. "
Bastien Lachaud,LFI,"
Ce n'est rien, c'est ça ? "
Stéphanie Rist,REN,"
Pourquoi ? Parce que, contrairement aux réformes précédentes de relèvement de l'âge légal, nous maintenons un âge dérogatoire pour les personnes reconnues inaptes, invalides, pour les travailleurs en situation de handicap, pour les travailleurs en incapacité permanente ou encore pour nos concitoyens qui ont commencé à travailler tôt. "
Alexis Corbière,LFI,"
C'est la moindre des choses ! "
Stéphanie Rist,REN,"
Au total, ce seront presque 50 % des Français qui partiront à la retraite avant l'âge de 64 ans.Quelles autres options sont sur la table, pour rétablir l'équilibre de notre système ? L'une d'elles, défendue par l'opposition au cours des débats en commission, consiste à augmenter les impôts ou les cotisations. "
Nathalie Oziol,LFI,"
Ne parlez pas à notre place ! "
Stéphanie Rist,REN,"
De deux choses l'une : soit il s'agit de propositions sérieuses, qui visent réellement à corriger le déficit de notre système de retraite, et dans ce cas, il faudrait augmenter les cotisations pesant sur l'ensemble des salariés et des employeurs d'au moins 400 euros par an en 2027, ce qui reviendrait à briser la trajectoire de baisse du taux de chômage et de création d'emplois ; soit il s'agit de propositions symboliques et de simples effets d'annonce qui ne sont nullement à la hauteur des enjeux financiers auxquels notre système fait face.À l'inverse, le choix que nous faisons permet non seulement de rétablir l'équilibre de notre système d'ici à 2030, mais c'est le seul qui garantisse, à terme, une plus grande richesse nationale, de l'ordre de 1 % de PIB, soit plus de 30 milliards d'euros à l'horizon 2030.Si nous portons notre choix sur le travail, ce n'est qu'à la condition de lutter contre ses dimensions les plus délétères, la pénibilité et l'usure que certains emplois imposent à ceux qui les exercent. Dans ce domaine, la réforme que nous proposons est ambitieuse et répond au besoin de susciter un véritable choc de prévention.L'article 9 comporte des améliorations importantes pour les personnes ayant des métiers pénibles. Tout d'abord, nous renforçons et simplifions le compte professionnel de la prévention. Ensuite, nous créons un cadre de reconnaissance de l'usure professionnelle spécifiquement adapté aux personnes amenées à porter des charges lourdes ou à subir des contraintes posturales ou des vibrations. En tant que rhumatologue, j'y suis particulièrement attachée car je ne connais que trop bien les conséquences de ces risques ergonomiques sur la santé. "
Sylvain Maillard,REN,"
Eh oui ! "
Jérôme Guedj,SOC,"
Il ne fallait pas supprimer quatre critères de pénibilité en 2017 ! "
